1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
8	7	616549.384	3097758.199	634.284	11.611	0	Junction	0.054	1	50.95	0.722171274	8.385130666	0.642275807	6.076232086	635.0061713	636.887955	0.014990719	2.282862453	34.58575481	0	1	3.000566356	34.83957596	1.978157701	1.46241734	637.2845664	637.3935707	0.000193781	0.269547437	59.8645573	-0.000998917	1	3.000566356	637.2845664	637.3935707			0	0	0	0	0.269547437	Subcritical	0.000193781
9	8	616548.437	3097757.878	634.282	12.348	0	Junction	0	1	50.95	0.673386975	8.31498237	0.607164631	6.127493449	634.955387	636.8690555	0.016431339	2.384053494	34.62384009	-1.13687E-13	1	3.010676968	37.17583921	2.023796772	1.370513782	637.292677	637.3884113	0.000165092	0.25218359	63.08023135	-0.000940397	1	3.010676968	637.292677	637.3884113			0	0	0	0	0.25218359	Subcritical	0.000165092
10	9	616547.49	3097757.557	634.28	6.224	0	Normal	0	1	50.95	1.897405115	11.80944944	1.17872773	4.314341686	636.1774051	637.1261077	0.003363517	1	33.61096466	-0.556439408	1	2.528608023	15.73805633	1.395067364	3.237375628	636.808608	637.3427875	0.001512778	0.6500067	36.71158054	-0.000933333	1	2.528608023	636.808608	637.3427875			0	0	0	0	0.6500067	Subcritical	0.001512778
11	10	616546.543	3097757.236	634.278	6.224	0	Normal	0.054	1	50.95	1.897405115	11.80944944	1.17872773	4.314341686	636.1754051	637.1241077	0.003363517	1	33.61096466	-0.0014489	1	2.527682802	15.73229776	1.394785692	3.238560621	636.8056828	637.3402534	0.001514293	0.650363621	36.7031765	-0.000937849	1	2.527682802	636.8056828	637.3402534			0	0	0	0	0.650363621	Subcritical	0.001514293
12	11	616545.596	3097756.914	634.276	6	0	Normal	0.054	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2203404	637.1925105	0.003442788	1	34.02413465	-0.074240265	1	2.430882147	14.58529288	1.34281066	3.493244901	636.7068821	637.3288373	0.001853336	0.715340111	35.87035994	-0.000953362	1	2.430882147	636.7068821	637.3288373			0	0	0	0	0.715340111	Subcritical	0.001853336
13	12	616544.649	3097756.593	634.274	6	0	Normal	0	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2183404	637.1905105	0.003442788	1	34.02413465	-0.001442788	1	2.429029494	14.57417697	1.342245145	3.495909245	636.7030295	637.3259337	0.001857207	0.716158667	35.8571865	-0.000965768	1	2.429029494	636.7030295	637.3259337			0	0	0	0	0.716158667	Subcritical	0.001857207
14	13	616543.702	3097756.272	634.272	6	0	Normal	0	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2163404	637.1885105	0.003442788	1	34.02413465	-0.001442788	1	2.42713376	14.56280256	1.34166608	3.498639756	636.6991338	637.3230114	0.00186118	0.716997874	35.84374991	-0.000978646	1	2.42713376	636.6991338	637.3230114			0	0	0	0	0.716997874	Subcritical	0.00186118
15	14	616542.755	3097755.951	634.27	6	0	Normal	0	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2143404	637.1865105	0.003442788	1	34.02413465	-0.001442788	1	2.425193202	14.55115921	1.341072905	3.50143925	636.6951932	637.3200697	0.001865259	0.717858622	35.83004092	-0.000992023	1	2.425193202	636.6951932	637.3200697			0	0	0	0	0.717858622	Subcritical	0.001865259
16	15	616541.808	3097755.63	634.268	6	0	Normal	0.054	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2123404	637.1845105	0.003442788	1	34.02413465	-0.001530283	1	2.42307515	14.5384509	1.340424989	3.504499918	636.6910752	637.3170446	0.001869726	0.718800066	35.8151304	-0.000940497	1	2.42307515	636.6910752	637.3170446			0	0	0	0	0.718800066	Subcritical	0.001869726
17	16	616540.861	3097755.308	634.266	6	0	Normal	0.054	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2103404	637.1825105	0.003442788	1	34.02413465	-0.001530283	1	2.421059165	14.52635499	1.339807826	3.507418072	636.6870592	637.3140715	0.001873991	0.719698057	35.80098924	-0.000954094	1	2.421059165	636.6870592	637.3140715			0	0	0	0	0.719698057	Subcritical	0.001873991
18	17	616539.914	3097754.987	634.264	6	0	Normal	0	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2083404	637.1805105	0.003442788	1	34.02413465	-0.001442788	1	2.419126617	14.5147597	1.339215775	3.510220014	636.6831266	637.3111411	0.001878093	0.720560638	35.78747996	-0.000967329	1	2.419126617	636.6831266	637.3111411			0	0	0	0	0.720560638	Subcritical	0.001878093
19	18	616538.967	3097754.666	634.262	6	0	Normal	0.598	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	636.2063404	637.1785105	0.003442788	1	34.02413465	-0.002411717	1	2.415673261	14.49403957	1.33815676	3.515238093	636.6776733	637.3074846	0.001885454	0.72210632	35.7634534	-0.000918399	1	2.415673261	636.6776733	637.3074846			0	0	0	0	0.72210632	Subcritical	0.001885454
20	19	616538.023	3097754.335	634.26	6.25	0	Normal	2.649	1	50.95	1.669504042	10.43440026	1.088162631	4.882887249	635.929504	637.1447226	0.004793038	1.206558699	34.07029016	0	1	2.461907909	15.38692443	1.377051912	3.31125302	636.7219079	637.2807457	0.001610275	0.673785968	36.13818379	-0.000937644	1	2.461907909	636.7219079	637.2807457			0	0	0	0	0.673785968	Subcritical	0.001610275
21	20	616537.096	3097753.961	634.258	6.17	0	Normal	2.799	1	50.95	1.908459789	11.7751969	1.179061952	4.326891555	636.1664598	637.1206897	0.003381835	1	33.70873466	-0.06402012	1	2.420971013	14.93739115	1.356472012	3.410903516	636.678971	637.2719508	0.001743306	0.699906676	35.79663659	-0.000936973	1	2.420971013	636.678971	637.2719508			0	0	0	0	0.699906676	Subcritical	0.001743306
22	21	616536.188	3097753.542	634.256	6.102	0	Normal	2.947	1	50.95	1.922612025	11.73177858	1.179402265	4.342905014	636.178612	637.139918	0.003405602	1	33.83348784	-0.028051299	1	2.378470258	14.51342551	1.33654158	3.510542701	636.6344703	637.2626002	0.001883451	0.726759795	35.49251059	-0.000939142	1	2.378470258	636.6344703	637.2626002			0	0	0	0	0.726759795	Subcritical	0.001883451
23	22	616535.303	3097753.077	634.254	6.052	0	Normal	2.823	1	50.95	1.9331869	11.69964712	1.179593284	4.3548322	636.1871869	637.1537803	0.003423594	1	33.92640682	-0.022353477	1	2.339281233	14.15733002	1.319346499	3.598842432	636.5932812	637.253407	0.002013862	0.751254541	35.25022388	-0.000969543	1	2.339281233	636.5932812	637.253407			0	0	0	0	0.751254541	Subcritical	0.002013862
24	22.999	616534.442	3097752.569	634.252	6.02	0	Normal	2.879	0.999	50.95	1.940031563	11.67899001	1.179688438	4.362534771	636.1920316	637.1620473	0.003435347	1	33.98641385	-0.016689727	1	2.305630643	13.87989647	1.305573826	3.670776659	636.5576306	637.2444095	0.002124695	0.771842325	35.06579633	-0.000992059	1	2.305630643	636.5576306	637.2444095			0	0	0	0	0.771842325	Subcritical	0.002124695
25	24	616533.607	3097752.018	634.25	6.002	0	Normal	2.831	1.001	50.95	1.943908397	11.6673382	1.179732491	4.3668915	636.1939084	637.1658626	0.00344204	1	34.02035503	-0.012037229	1	2.278132989	13.6733542	1.295037862	3.726225421	636.528133	637.2358168	0.00221315	0.788215706	34.92768177	-0.000985936	1	2.278132989	636.528133	637.2358168			0	0	0	0	0.788215706	Subcritical	0.00221315
26	24.999	616532.801	3097751.427	634.248	6.002	0	Normal	2.91	0.999	50.95	1.943908397	11.6673382	1.179732491	4.3668915	636.1919084	637.1638626	0.00344204	1	34.02035503	-0.006152576	1	2.262970617	13.58234965	1.290123999	3.751191902	636.5109706	637.2281694	0.002254304	0.796150773	34.85071913	-0.000929999	1	2.262970617	636.5109706	637.2281694			0	0	0	0	0.796150773	Subcritical	0.002254304
27	26	616532.025	3097750.795	634.246	6.016	0	Normal	2.839	1.001	50.95	1.94089141	11.67640273	1.179698821	4.363501431	636.1868914	637.1573371	0.003436829	1	33.99394463	-0.001968906	1	2.25894142	13.58979158	1.290102784	3.749137703	636.5049414	637.221355	0.002251885	0.796424119	34.82109275	-0.000984754	1	2.25894142	636.5049414	637.221355			0	0	0	0	0.796424119	Subcritical	0.002251885
28	27	616531.282	3097750.126	634.1835	6.044	0	Normal	2.878	1	50.95	1.730339028	10.45816909	1.100318078	4.871789658	635.913839	637.1235401	0.004701126	1.182465351	34.35060518	1.13687E-13	1	2.361931048	14.27551125	1.325751679	3.569049058	636.545431	637.1946722	0.001967907	0.741454331	35.39538505	-0.000990744	1	2.361931048	636.545431	637.1946722			0	0	0	0	0.741454331	Subcritical	0.001967907
29	27.999	616530.574	3097749.421	634.121	6.091	0	Normal	2.836	0.999	50.95	1.623300309	9.887522179	1.058893241	5.152959364	635.7443003	637.0976637	0.005535536	1.291286999	34.78803047	-1.13687E-13	1	2.460723745	14.98826833	1.361029721	3.399325318	636.5817237	637.1706846	0.001723764	0.691873657	36.09600152	-0.000977757	1	2.460723745	636.5817237	637.1706846			0	0	0	0	0.691873657	Subcritical	0.001723764
30	28.999	616529.901	3097748.681	634.0585	6.155	0	Normal	2.927	1	50.95	1.538642636	9.470345425	1.025785615	5.379951597	635.5971426	637.0723658	0.00629502	1.384761509	35.2274852	1.13687E-13	1	2.555748718	15.73063336	1.396231034	3.238903281	636.6142487	637.1489324	0.001512523	0.646851217	36.92359995	-0.000978178	1	2.555748718	636.6142487	637.1489324			0	0	0	0	0.646851217	Subcritical	0.001512523
31	29.999	616529.267	3097747.908	633.996	6.238	0	Normal	2.775	1	50.95	1.463408511	9.128742293	0.996063781	5.581272684	635.4594085	637.047105	0.00704584	1.47304478	35.66688344	-1.13687E-13	1	2.648294399	16.52006046	1.43221928	3.084129148	636.6442944	637.1290983	0.001325669	0.605082958	37.89297142	-0.000979791	1	2.648294399	636.6442944	637.1290983			0	0	0	0	0.605082958	Subcritical	0.001325669
32	30.999	616528.671	3097747.105	633.994	6	0	Normal	1.559	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	635.9383404	636.9105105	0.003442788	1	34.02413465	-0.057433113	1	2.565401447	15.39240868	1.382865983	3.310073235	636.5594014	637.117841	0.001600114	0.659819933	36.93531464	-0.000962375	1	2.565401447	636.5594014	637.117841			0	0	0	0	0.659819933	Subcritical	0.001600114
33	31.999	616528.097	3097746.286	633.992	6	0	Normal	0.08	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	635.9363404	636.9085105	0.003442788	1	34.02413465	-0.00157241	1	2.564176197	15.38505718	1.382509884	3.3116549	636.5561762	637.1151496	0.001602194	0.660292916	36.92467426	-0.000968698	1	2.564176197	636.5561762	637.1151496			0	0	0	0	0.660292916	Subcritical	0.001602194
34	32.999	616527.522	3097745.468	633.99	6	0	Normal	0.08	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	635.9343404	636.9065105	0.003442788	1	34.02413465	-0.00157241	1	2.562932987	15.37759792	1.382148406	3.313261295	636.552933	637.1124488	0.001604308	0.66077341	36.91389513	-0.000975162	1	2.562932987	636.552933	637.1124488			0	0	0	0	0.66077341	Subcritical	0.001604308
35	33.999	616526.948	3097744.649	633.988	6	0	Normal	0.033	1	50.95	1.944340352	11.66604211	1.17973696	4.367376656	635.9323404	636.9045105	0.003442788	1	34.02413465	-0.001496257	1	2.561756069	15.37053641	1.381806054	3.314783468	636.5497561	637.1097861	0.001606313	0.661228819	36.9037068	-0.000981334	1	2.561756069	636.5497561	637.1097861			0	0	0	0	0.661228819	Subcritical	0.001606313
36	34.998	616526.374	3097743.831	633.986	6	0	Normal	0.014	0.999	50.95	1.944340352	11.66604211	1.17973696	4.367376656	635.9303404	636.9025105	0.003442788	1	34.02413465	-0.001462029	1	2.560599191	15.36359514	1.38146939	3.316281087	636.5465992	637.1071354	0.001608287	0.661676984	36.89370713	-0.000984507	1	2.560599191	636.5465992	637.1071354			0	0	0	0	0.661676984	Subcritical	0.001608287
37	35.999	616525.799	3097743.012	633.9235	6	0	Normal	0.014	1.001	50.95	1.74600829	10.47604974	1.103669558	4.863474425	635.6695083	636.8750834	0.004666132	1.175138303	34.40496431	0	1	2.645278772	15.87167263	1.405747464	3.210121654	636.5687788	637.0940021	0.001472366	0.630160626	37.66484371	-0.00090652	1	2.645278772	636.5687788	637.0940021			0	0	0	0	0.630160626	Subcritical	0.001472366
38	36.998	616525.225	3097742.194	633.861	6	0	Normal	0.014	0.999	50.95	1.656816351	9.940898105	1.067349167	5.125291443	635.5178164	636.8566855	0.005418482	1.271296573	34.85424451	0	1	2.72720445	16.3632267	1.428552695	3.113689062	636.5882044	637.0823461	0.001355828	0.601979759	38.48443669	-0.000985218	1	2.72720445	636.5882044	637.0823461			0	0	0	0	0.601979759	Subcritical	0.001355828
39	37.999	616524.65	3097741.375	633.7985	6	0	Normal	0.047	1.001	50.95	1.592906747	9.557440481	1.040456622	5.330925168	635.3914067	636.8398656	0.006064882	1.348568175	35.2991747	-1.13687E-13	1	2.806687657	16.84012594	1.450063008	3.025511814	636.6051877	637.0717382	0.001254867	0.576590267	39.34602677	-0.00099177	1	2.806687657	636.6051877	637.0717382			0	0	0	0	0.576590267	Subcritical	0.001254867
40	38.999	616524.076	3097740.556	633.736	5.999	0	Normal	0.08	1	50.95	1.542550621	9.253761177	1.018676579	5.505869346	635.2785506	636.8236371	0.006654558	1.415375537	35.73292058	1.13687E-13	1	2.884120567	17.30183928	1.470339486	2.944773626	636.6201206	637.0621028	0.001166978	0.553618642	40.24450691	-0.000924846	1	2.884120567	636.6201206	637.0621028			0	0	0	0	0.553618642	Subcritical	0.001166978
41	39.999	616523.501	3097739.738	633.734	5.999	0	Normal	0.08	1	50.95	1.554960351	9.328207143	1.024073812	5.461928452	635.2889604	636.8094834	0.006502787	1.398465779	35.62000424	0	1	2.88389292	17.30047363	1.470280318	2.945006079	636.6178929	637.0599449	0.001167225	0.553684195	40.24177564	-0.000925564	1	2.88389292	636.6178929	637.0599449			0	0	0	0	0.553684195	Subcritical	0.001167225
42	40.999	616522.927	3097738.919	633.732	5.999	0	Normal	0.08	1	50.95	1.568113977	9.407115748	1.029762563	5.416112799	635.300114	636.7952352	0.006347097	1.38090685	35.50527112	0	1	2.883663775	17.29909899	1.470220756	2.945240099	636.6156638	637.0577861	0.001167474	0.553750192	40.2390269	-0.000926287	1	2.883663775	636.6156638	637.0577861			0	0	0	0	0.553750192	Subcritical	0.001167474
43	41.999	616522.352	3097738.101	633.73	5.999	0	Normal	0.08	1	50.95	1.582199351	9.491613909	1.035818065	5.367896386	635.3121994	636.7808187	0.006186041	1.36250787	35.38794835	0	1	2.88343312	17.29771529	1.470160797	2.945475697	636.6134331	637.0556261	0.001167724	0.553816638	40.23626056	-0.000927015	1	2.88343312	636.6134331	637.0556261			0	0	0	0	0.553816638	Subcritical	0.001167724
